scan_name,hu_mean_Water_O,hu_mean_SW_ref_1,hu_mean_SW_ref_2,hu_mean_Ca_50,hu_mean_Ca_100,hu_mean_Ca_200,hu_mean_Ca_300,hu_mean_Ca_400,hu_mean_Water_I,hu_mean_I_2.0,hu_mean_I_2.5,hu_mean_I_5.0,hu_mean_I_7.5,hu_mean_I_10.0,hu_mean_I_15.0,hu_mean_I_20.0,hu_std_Water_O,hu_std_SW_ref_1,hu_std_SW_ref_2,hu_std_Ca_50,hu_std_Ca_100,hu_std_Ca_200,hu_std_Ca_300,hu_std_Ca_400,hu_std_Water_I,hu_std_I_2.0,hu_std_I_2.5,hu_std_I_5.0,hu_std_I_7.5,hu_std_I_10.0,hu_std_I_15.0,hu_std_I_20.0,cnr_Water_O,cnr_SW_ref_1,cnr_SW_ref_2,cnr_Ca_50,cnr_Ca_100,cnr_Ca_200,cnr_Ca_300,cnr_Ca_400,cnr_Water_I,cnr_I_2.0,cnr_I_2.5,cnr_I_5.0,cnr_I_7.5,cnr_I_10.0,cnr_I_15.0,cnr_I_20.0,nps_peak_freq_lp_cm,nps_area_HU2cm2,mtf_f50_lp_cm,mtf_f10_lp_cm
120kVp_50mA_FBP,-12.5,1.25,-3.57,186.16,324.97,589.74,860.5,1104.75,-16.16,38.37,49.41,107.32,153.54,219.0,327.86,432.96,54.19,47.76,53.57,54.14,53.52,54.55,54.32,56.91,53.7,49.96,58.99,60.65,68.1,67.29,65.28,58.98,0.0,0.25,0.16,3.67,6.23,11.11,16.11,20.62,-0.07,0.94,1.14,2.21,3.06,4.27,6.28,8.22,0.457,128.834,3.169,5.722
120kVp_50mA_ASiRV50,-12.2,0.47,-2.94,186.29,324.44,590.04,860.56,1104.15,-16.44,37.63,49.22,106.97,155.79,219.9,328.16,433.3,36.28,32.05,37.91,36.57,40.21,43.27,43.03,43.97,36.04,34.18,40.5,42.81,49.17,48.69,49.73,45.12,0.0,0.35,0.26,5.47,9.28,16.6,24.06,30.77,-0.12,1.37,1.69,3.29,4.63,6.4,9.38,12.28,0.457,114.351,3.301,5.768
120kVp_150mA_FBP,-15.87,-8.41,-2.72,189.2,320.64,587.89,856.3,1093.85,-11.63,38.53,49.35,100.9,167.66,222.31,318.52,435.11,46.72,44.37,44.99,44.22,45.63,43.54,50.7,49.01,54.05,48.38,50.79,50.72,53.15,53.18,59.31,49.57,0.0,0.16,0.28,4.39,7.2,12.92,18.67,23.75,0.09,1.16,1.4,2.5,3.93,5.1,7.16,9.65,0.457,116.332,3.246,5.755
120kVp_150mA_ASiRV50,-16.0,-7.8,-2.45,188.34,320.39,587.89,856.23,1094.08,-11.55,39.07,49.63,101.16,166.41,222.87,318.89,435.03,30.82,29.44,28.67,28.83,32.1,32.56,40.21,37.09,35.6,31.65,32.76,33.79,36.24,35.41,43.49,37.53,0.0,0.27,0.44,6.63,10.92,19.6,28.3,36.02,0.14,1.79,2.13,3.8,5.92,7.75,10.87,14.64,0.457,106.436,3.335,5.75
120kVp_300mA_FBP,-17.18,-1.84,-2.81,186.03,321.51,587.44,855.45,1095.15,-11.38,43.6,51.63,102.65,167.0,220.16,324.22,434.28,35.99,37.18,32.08,32.97,35.06,39.17,43.63,43.64,43.49,40.39,40.72,44.42,49.8,42.88,43.16,46.34,0.0,0.43,0.4,5.65,9.41,16.8,24.25,30.91,0.16,1.69,1.91,3.33,5.12,6.59,9.49,12.54,0.457,111.266,3.014,5.363
120kVp_300mA_ASiRV50,-17.14,-2.36,-3.22,186.19,321.55,587.42,855.79,1095.3,-12.28,43.15,51.48,102.68,165.22,220.42,323.55,434.4,23.81,23.5,20.2,21.25,24.34,29.74,32.1,33.82,27.2,24.99,25.34,28.43,32.62,27.94,29.26,34.2,0.0,0.62,0.58,8.54,14.22,25.39,36.66,46.71,0.2,2.53,2.88,5.03,7.66,9.98,14.31,18.96,0.457,104.053,3.075,5.343
80kVp_480mA_FBP,-14.13,1.39,1.05,213.72,390.4,764.58,1132.36,1459.4,-14.0,69.53,88.68,178.16,271.76,365.04,537.41,732.18,47.73,49.78,50.5,45.9,48.96,57.19,57.04,57.2,54.49,56.43,56.1,57.45,60.41,61.54,62.81,58.28,0.0,0.33,0.32,4.77,8.48,16.32,24.02,30.87,0.0,1.75,2.15,4.03,5.99,7.94,11.56,15.64,0.457,274.687,3.0,5.39
80kVp_480mA_ASiRV50,-13.97,1.31,0.87,214.07,390.23,764.64,1133.27,1458.99,-14.12,70.01,89.17,178.18,271.63,365.48,537.47,731.58,30.66,32.58,33.4,30.89,37.35,45.54,45.29,45.57,35.5,36.6,35.45,36.74,43.53,45.44,46.81,45.46,0.0,0.5,0.48,7.44,13.19,25.4,37.42,48.05,-0.0,2.74,3.36,6.27,9.32,12.38,17.99,24.32,0.457,262.528,3.099,5.409
100kVp_250mA_FBP,-16.89,-1.19,0.91,197.36,342.0,645.73,947.66,1216.55,-12.74,53.16,67.79,133.88,204.98,273.43,404.88,539.47,44.07,46.23,46.22,45.98,49.76,49.99,50.6,52.52,51.97,47.84,52.26,53.78,56.15,52.06,52.12,59.18,0.0,0.36,0.4,4.86,8.14,15.04,21.89,27.99,0.09,1.59,1.92,3.42,5.03,6.59,9.57,12.62,0.457,169.148,3.004,5.379
100kVp_250mA_ASiRV50,-17.09,-1.27,-0.29,196.75,341.61,646.13,947.8,1217.18,-12.92,53.42,67.33,134.12,204.99,273.75,404.51,539.04,29.12,29.89,30.17,31.66,35.8,37.31,39.41,42.6,32.83,31.27,33.94,34.8,38.46,37.82,38.98,44.73,0.0,0.54,0.58,7.34,12.32,22.77,33.13,42.39,0.14,2.42,2.9,5.19,7.63,9.99,14.48,19.1,0.457,158.095,3.091,5.379
